文档名	出行	经济	防护	政治	宣传
./data/20200128.txt	39	4	65	8	23
./data/20200129.txt	7	1	40	4	12
./data/20200130.txt	5	1	11	1	7
./data/20200131.txt	29	42	136	22	39
./data/20200201.txt	10	0	48	3	7
./data/20200202.txt	34	0	116	10	23
./data/20200203.txt	56	5	261	21	100
./data/20200204.txt	47	61	183	16	65
./data/20200205.txt	140	34	1058	100	272
./data/20200206.txt	148	50	694	160	233
./data/20200207.txt	151	74	1018	93	252
./data/20200208.txt	301	159	1585	302	390
./data/20200209.txt	429	313	2024	279	443
./data/20200210.txt	574	394	1842	463	588
./data/20200211.txt	1284	594	4182	950	1179
./data/20200212.txt	1220	721	3727	987	1180
./data/20200213.txt	885	275	2796	663	826
./data/20200214.txt	977	546	3057	750	964
./data/20200215.txt	234	58	1161	213	261
./data/20200216.txt	179	68	622	115	187
./data/20200217.txt	1121	449	3925	918	1196
./data/20200218.txt	674	364	2779	535	747
./data/20200219.txt	1123	573	3243	727	1053
./data/20200220.txt	975	812	3564	832	1094
./data/20200221.txt	873	625	3474	787	982
./data/20200222.txt	108	127	559	84	140
./data/20200223.txt	265	46	660	103	209
./data/20200224.txt	916	984	3224	1156	989
./data/20200225.txt	693	850	2596	800	681
./data/20200226.txt	997	991	4088	914	1055
./data/20200227.txt	668	665	2643	578	777
./data/20200228.txt	677	245	3191	509	925
./data/20200229.txt	111	18	891	137	209
./data/20200301.txt	233	16	706	189	245
./data/20200302.txt	871	564	2604	596	771
./data/20200303.txt	790	884	2860	933	844
./data/20200304.txt	851	896	2818	612	766
./data/20200305.txt	927	767	2878	955	798
./data/20200306.txt	558	655	2115	599	748
./data/20200307.txt	540	670	1406	543	460
./data/20200308.txt	200	183	1010	239	287
./data/20200309.txt	788	473	2097	558	797
./data/20200310.txt	814	805	2200	596	691
./data/20200311.txt	1124	348	2783	785	690
./data/20200312.txt	605	364	1532	501	500
./data/20200313.txt	870	595	2468	911	762
./data/20200314.txt	25	1	160	6	23
./data/20200315.txt	103	40	288	59	122
./data/20200316.txt	1153	1038	3075	947	1014
./data/20200317.txt	1079	476	3478	936	979
./data/20200318.txt	574	316	1492	437	522
./data/20200319.txt	757	981	2065	885	781
./data/20200320.txt	763	601	2027	770	802
./data/20200322.txt	24	27	129	14	34
./data/20200323.txt	973	670	1890	731	744
./data/20200324.txt	821	360	2036	677	750
./data/20200325.txt	770	549	2040	629	649
./data/20200326.txt	563	366	1053	713	417
./data/20200327.txt	644	454	1605	850	700
./data/20200328.txt	103	43	323	71	108
./data/20200329.txt	228	106	514	220	158
./data/20200330.txt	455	434	1181	460	456
./data/20200331.txt	829	433	2394	888	852
./data/20200401.txt	832	577	2424	726	702
./data/20200402.txt	747	546	2105	1015	798
./data/20200403.txt	793	681	2068	887	751
./data/20200404.txt	609	204	1284	450	499
./data/20200405.txt	306	97	808	211	303
./data/20200406.txt	140	3	248	56	44
./data/20200407.txt	1802	532	5052	2705	2163
./data/20200408.txt	448	333	1316	478	424
./data/20200409.txt	276	252	828	292	284
./data/20200410.txt	710	571	2071	847	685
./data/20200411.txt	156	115	636	159	215
./data/20200412.txt	35	14	101	62	76
./data/20200413.txt	526	271	1623	501	665
./data/20200414.txt	679	291	2074	728	646
./data/20200415.txt	411	401	2069	561	623
./data/20200416.txt	580	216	1441	660	571
./data/20200417.txt	683	357	2469	574	776
./data/20200418.txt	119	48	704	134	184
