文档名	出行	经济	防护	政治	宣传
./data/1.23zl.txt	342	0	120	30	802
./data/1.24zl.txt	172	2	18	18	28
./data/1.25zl.txt	95	16	134	30	28
./data/1.26zl.txt	39	5	52	35	152
./data/1.27zl.txt	96	6	45	12	44
./data/1.28zl.txt	103	5	89	19	50
./data/1.29zl.txt	87	27	12	33	71
./data/2.10zl.txt	118	7	105	74	80
./data/2.11zl.txt	96	49	2	8	42
./data/2.12zl.txt	47	20	52	27	20
./data/2.13zl.txt	221	6	1421	62	68
./data/2.14zl.txt	80	16	60	22	116
./data/2.15zl.txt	19	0	150	14	39
./data/2.16zl.txt	97	5	111	25	45
./data/2.17zl.txt	85	2	41	10	68
./data/2.18zl.txt	81	25	132	37	71
./data/2.19zl.txt	19	12	27	22	28
./data/2.1zl.txt	296	48	420	44	156
./data/2.20zl.txt	61	3	94	22	107
./data/2.21zl.txt	115	7	95	59	30
./data/2.22zl.txt	100	4	157	18	61
./data/2.23zl.txt	60	72	87	32	32
./data/2.24zl.txt	97	20	98	46	54
./data/2.25zl.txt	61	8	375	31	6
./data/2.26zl.txt	25	39	136	13	33
./data/2.27zl.txt	121	12	55	84	26
./data/2.28zl.txt	95	10	22	42	28
./data/2.29zl.txt	73	5	29	35	55
./data/2.2zl.txt	136	10	112	19	84
./data/2.3zl.txt	101	13	117	24	13
./data/2.4zl.txt	60	5	80	13	10
./data/2.5zl.txt	25	0	79	6	29
./data/2.6zl.txt	24	2	89	19	29
./data/2.7zl.txt	63	10	49	27	66
./data/2.8zl.txt	67	4	284	140	12
./data/2.9zl.txt	150	7	98	13	121
./data/3.10zl.txt	35	3	28	7	150
./data/3.11zl.txt	6	0	14	6	0
./data/3.12zl.txt	139	9	138	14	115
./data/3.13zl.txt	169	132	44	46	19
./data/3.14zl.txt	91	1	319	27	42
./data/3.15zl.txt	172	7	153	88	21
./data/3.16zl.txt	23	3	24	19	25
./data/3.17zl.txt	277	16	169	82	27
./data/3.18zl.txt	201	10	171	30	30
./data/3.19zl.txt	204	8	118	38	21
./data/3.1zl.txt	107	2	70	16	100
./data/3.20zl.txt	107	11	97	18	18
./data/3.21zl.txt	322	18	221	65	14
./data/3.22zl.txt	178	15	79	99	20
./data/3.23zl.txt	255	23	88	74	61
./data/3.24zl.txt	179	14	16	7	160
./data/3.25zl.txt	158	11	164	35	24
