name,author,content,source,datetime,literature_type,download,cite,link,key_worlds
Urban Hierarchy of Innovation Capability and Inter-city Linkage...,,"The 2000s has witnessed increasing interests in cities′role of innovation in the era of knowledge-based economy.Compared with substantial empirical analysis on the world city hierarchy of innovation,this paper attempts to examine the national urban hierarchy of innovation capability in China,in terms of ranking systems,spatial pattern and inter-city linkages of knowledge during the post-reform period since the late 1970s.Based on quantitative analysis such as principal component factor analysis and clustering analysis,this paper identifies the five-tier hierarchy of in-novation,which is headed by Beijing and Shanghai,followed by the capital cities of each province and regional centre cities.The development of China′s urban hierarchy of innovation capability has been driven by such factors as the scale of innovation,scientific scale,innovation potential and innovation environment.The paper further investigates the inter-city linkages of knowledge measured by the number of co-authored papers among the cities.Beijing is positioned in the central position of the knowledge diffusion and knowledge cooperation innovation.More knowledge diffusion among high level cities has occurred than that among the low level cities as well as between the low level cities and high level cities,and provincial capital cities and the regional central cities.",Chinese,Science,Geographical,146,18,https://wap.cnki.net/touch/web/Journal/Article/ZDKX201205011.html,"urban hierarchy,innovation capability,inter-city linkages of knowledge,Chinese cities"
"China's Regional Inequality in Innovation Capability,1995-2006",Peilei Fan Guanghua Wan Ming Lu,"<正>This paper assesses both interregional and intraregional innovation inequality in China from 1995 to 2006.It is revealed that the east-central-west inequality has increased over time,whereas the inter-provincial inequality showed a V-pattern until 2003;Both inequality measures oscillated from 2004 to 2006.Using a decomposition framework recently developed by one of the authors,we determined that the major factors driving innovation inequality are population,economic development level,R&D,location and openness.The aggravated innovation inequality reflects the growth of China's innovation centers in the eastern region and their admission into the global innovation networks.The fact that R&D is a major factor driving the inequality suggests that,considered in the present study,the efficiency of R&D investment improved in certian regions during the period(1995-2006).Finally, geographic location and openness affect innovation inequality primarily through the coupled evolution of innovation capability and economic development,resulting in first-mover advantages to provinces of the eastern region.",China,World,&,16,5,https://wap.cnki.net/touch/web/Journal/Article/SJJY201203004.html,"China,inequality decomposition,innovation,regional disparity"
城区型国家可持续发展实验区的创新能力评估,赵雅婷,"区域创新能力是区域发展的源泉和动力,是区域获得竞争力的关键性因素。国家可持续发展实验区作为探索先进发展模式的“先头兵”,应当提高增强区域创新能力的使命感、责任感和紧迫感。有效提升实验区创新能力的首要环节是对实验区创新能力现状水平进行科学评估。城区型实验区是创新活动活跃而频繁的地区,对大中型城市的发展具有示范与引领作用。通过搜索查阅相关文献发展,对国家、省市的创新能力评估研究较多,而对城区型国家可持续发展实验区的创新能力评估较少。为此,本文在国家科技部支撑计划项目的支持下,结合城区型实验区的特点和创新能力内涵,对城区型实验区的创新能力水平进行评估,试图为同类实验区及实验区所在城市的创新能力提高以及可持续发展提高借鉴和参考。首先,论文阐述了研究的背景和意义,结合国家可持续发展实验区特点界定了其创新能力的内涵,接着从区域创新能力研究成果和国家可持续发展实验区的研究现状两方面进行综述。接着,文章构建了适合城区型国家可持续发展实验区创新能力评估指标体系。在此基础上,文章介绍了实验区创新能力评估和可持续发展系统协调度的计算方法。基于以上方法,一方面,论文研究了50个城区型实验区的创新能力,研究结果发现：较为发达的城区型实验区创新能力水平较高,而欠发达地区创新能力水平低。同一个城市的不同城区得分相近,排名相邻。以上结论验证了评估方法的合理性。另一方面,论文利用协调度模型研究了50个实验区可持续发展系统的协调度,研究表明,大部分城区型实验区处于过渡阶段和协调发展阶段,但是处于良好协调和优质协调发展阶段的实验区只占少数,大部分实验区还有亟待解决的影响可持续发展的内部矛盾。研究还发现,创新能力水平和可持续发展协调度之间没有明显的相关性。论文将50个实验区划分成“高创新能力水平—高可持续发展系统协调度”、“低创新能力水平—高可持续发展系统协调度”、“低创新能力水平—低可持续发展系统协调度”、“高创新能力水平—低可持续发展系统协调度”四类地区,并依次进行分析,结果表明：科技创新能促进实验区创新能力的提高,社会和谐和可持续发展有正相关的关系。",东南大学,2015年,硕士论文,155,2,https://wap.cnki.net/touch/web/Dissertation/Article/10286-1016754569.nh.html,"区域创新能力,城区型国家可持续发展实验区,系统协调性"
Secondary relative evaluations on regional technology innovation c...,毕克新 孙金花 冯英浚,"The influence of economic globalization brings for-ward new requirement for regional economy develop-ment.The technological innovation of SMEs has be-come a basic determination of area development.How-ever,for the difference in industry,technological whol",Journal,Harbin,of,97,0,https://wap.cnki.net/touch/web/Journal/Article/HGDY200506004.html,"regional SMEs,technological innovation capability,secondary relative evaluation,fuzzy integral,data enenvelopment analysis"
城市群规划引导下的政府合作与区域创新能力,徐圆 施永莉,"本文以11个城市群规划的颁布作为一项准自然实验,采用多期双重差分法,从创新视角考察城市群的经济效应。结果显示:(1)城市群规划的实施对城市群的区域创新活动具有正向推动作用。(2)原先集群程度和一体化程度越高、内部技术水平越接近的城市群收益越大;相比较大城市和中心城市,非中心城市和规模越小的城市在城市群规划实施后创新活动的增长更明显。(3)这其中的作用机制在于城市群规划能够引导地方政府积极合作,打破物理边界,寻求区域创新合作,促进内部一体化程度加深。",科研管理,核心,2021年03期,256,1,https://wap.cnki.net/touch/web/Journal/Article/KYGL202103013.html,"城市群规划,创新产出,一体化程度"
中国区域创新能力差异的实证研究——兼评各地区创新能力的影响因素,王鹏 高妍伶俐,"由于资源禀赋、地理条件和政策导向等因素的影响,我国区域创新能力存在不平衡发展的现象。通过聚类分析法将全国30个省市地区(不含西藏)分为高、中、低创新能力地区,采用泰尔指数测度区域创新能力差异,并利用主成分分析法对各地区创新能力的差异进行实证研究。结果发现:我国区域创新能力分布与区域经济发展状况呈现相同的空间格局,都存在明显的地区差异性;影响区域创新能力的关键因素与各地区的经济基础相关;创新产出指标如专利授权量等因素对三大地区提升创新能力的作用存在地区差异性。",南京工业大学学报(社会科学版),CSSCI,2017年01期,768,28,https://wap.cnki.net/touch/web/Journal/Article/NJZS201701015.html,"区域创新能力,区域差异,区域创新体系"
河南区域创新能力分析——基于2019—2020年《中国区域创新能力评价报告》,刘睿 陈峡忠 高畅 郑壮丽 韩宇辉,"随着知识经济时代的到来,国家与地区的发展越来越依赖于其创新能力.由于创新能力具有的区域性的特征,不同区域的创新能力存在着明显的差异.因此,分区域进行创新能力分析与评价对于不同区域创新能力的提高具有重要意义.基于《中国区域创新能力评价报告》的统计分析数据,对河南省创新能力从知识创造、知识获取、企业创新、创新环境、创新绩效等5个方面进行分析、评价,通过对2019年和2020年的数据变化对比分析,得到河南省创新能力在全国范围所处的位置及其变化趋势,进而发现河南省在创新发展过程中已发挥的优势和存在的问题,并针对创新能力的不足提出了相应的建议.",河南科学,2021年04期,,102,0,https://wap.cnki.net/touch/web/Journal/Article/HNKX202104018.html,"创新能力,创新发展,评价指标,区域创新"
广东区域创新能力分析——基于《中国区域创新能力评价报告2018》,左洋,"根据《中国区域创新能力评价报告2018》显示,广东连续两年在全国区域创新综合能力排名中获得第一名,且在企业创新、创新环境及创新绩效3个分项指标中均排名全国第一。文章从创新实力、创新效率和创新潜力3个方面综合分析广东在区域创新发展水平方面的优劣势,从而得出相关结论,为广东区域创新创业发展提出建议。",科技创新发展战略研究,2019年02期,,354,1,https://wap.cnki.net/touch/web/Journal/Article/KCFZ201902002.html,"区域创新,创新实力,创新效率,创新潜力"
江苏区域创新能力比较分析及对策建议——基于《中国区域创新能力报告2013》数据,韩子睿,"多年来,江苏高度重视科技进步与创新在经济社会发展中的重要作用,确立科技创新在发展全局中的核心位置,深入实施创新驱动战略,加快建设创新型省份,积极探索科技经济紧密结合的体制机制,有力地促进了科技第一生产力的大发展。根据中国科技发展战略研究小组发布的《中国区域创新能力报告》,2009年以来,江苏区域创新能力连续五年位居全国第一,是我国创新活力最强、创新成果最多、创新氛围最浓的省份之一。本文以《中国区域创新能力报告2013》的数据为基础,把江苏的各主要指标数据与广东、浙江、山东等创新先进地区进行比较分析,梳理找出江苏区域创新的优势与不足,总结归纳江苏推进科技改革发展的经验做法,提出进一步推动科技进步与创新、加快实现创新驱动发展的对策建议。",技术经济与管理研究,CSSCI,2014年02期,710,10,https://wap.cnki.net/touch/web/Journal/Article/JXJG201402023.html,"创新科技,区域创新,创新能力,区域经济"
区域创新能力的影响因素——兼评我国创新能力的地区差距,魏守华 吴贵生 吕新雷,"基于Furman等(2002)的国家创新能力分析框架,本文运用1998-2007年我国省级面板数据实证检验区域创新能力的影响因素,结果表明:区域创新能力不仅受R&D活动规模等创新基础条件影响,更重要的是受区域创新效率影响,创新效率依赖于区域特定的因素,包括产业集群环境、产学研联系的质量、对区外技术溢出的吸收能力。结果还发现:我国创新能力的地区差距明显且呈扩大化趋势,这是区域间投入规模与创新效率综合作用的结果;创新能力显著影响全要素生产率(TFP)和高技术产业的发展,进而影响着地区经济差距。",中国软科学,核心,2010年09期,7269,405,https://wap.cnki.net/touch/web/Journal/Article/ZGRK201009010.html,"区域创新能力,内生增长理论,区域经济差距"
金融危机下的中国区域创新能力——中国31个省区市创新能力指数2008年实证和2009年...,赵彦云 甄峰 吴翌琳 王敏,"中国正在全面奔向创新型国家的建设之中,区域创新能力提升是根本,创新指数依据知识生产函数理论,结合我国自主创新目标和过程,以及非技术创新的特殊性,全面刻画我国区域创新能力。2008年世界金融危机对我国经济产生了比较大的影响,但是我国区域创新能力仍持续发展,2009年将进一步强化创新能力对经济发展的作用。",经济理论与经济管理,核心,2009年08期,1328,19,https://wap.cnki.net/touch/web/Journal/Article/JJLL200908012.html,"创新指数,区域创新能力,聚类分析"
